Year,Series,Frequency,Type,Unit,Value
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,"723,995"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,number,"748,345"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,number,"815,262"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,number,"602,509"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"2,890,111"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1, goods/cargos (tons),number,"54,099"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,"79,750"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3, goods/cargos (tons),number,"55,630"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4, goods/cargos (tons),number,"10,634"
2019,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),number,"200,113"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,"647,055"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,number,"108,238"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,number,"130,258"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,number,"134,817"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"1,020,368"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1, goods/cargos (tons),number,"18,484"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,"8,691"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3, goods/cargos (tons),number,"24,528"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4, goods/cargos (tons),number,"35,736"
2020,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),number,"87,439"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,"424,460"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,number,"565,385"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,number,"696,841"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,number,"1,027,772"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"2,714,458"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1, goods/cargos (tons),number,"9,071"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,"27,695"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3, goods/cargos (tons),number,"51,726"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4, goods/cargos (tons),number,"53,946"
2021,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),number,"142,438"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,"953,099"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,number,"422,393"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,number,"500,348"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,number,"1,337,108"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"3,212,948"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1, goods/cargos (tons),number,"39,379"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,"31,197"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3, goods/cargos (tons),number,"33,312"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4, goods/cargos (tons),number,"53,136"
2022,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),number,"157,024"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,"441,725"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2,Passengers,number,"474,117"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3,Passengers,number,"594,348"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4,Passengers,number,"672,198"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"2,182,388"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1, goods/cargos (tons),number,"59,966"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,"56,936"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q3, goods/cargos (tons),number,"81,963"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,Q4, goods/cargos (tons),number,"119,286"
2023,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),number,"318,151"
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,675293
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,689263
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,,Passengers,number,"1,682,707"
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q1,Passengers,number,160650
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,Q2, goods/cargos (tons),number,143759
2024,Number of passengers and volumes of goods/cargos tons by rail transportation,, goods/cargos (tons),,304409
