Year,Series,Incident,Unit,Value
2016,Death rate due to road traffic injuries,Number of Crash,Number,9694
2016,Death rate due to road traffic injuries,Number of Fatality,Number,5053
2016,Death rate due to road traffic injuries,Number injured,Number,30105
2016,Death rate due to road traffic injuries,Total Incident 2016,Number,44852
2017,Death rate due to road traffic injuries,Number of Crash,Number,9383
2017,Death rate due to road traffic injuries,Number of Fatality,Number,5121
2017,Death rate due to road traffic injuries,Number injured,Number,22422
2017,Death rate due to road traffic injuries,Total Incident 2017,Number,36926
2018,Death rate due to road traffic injuries,Number of Crash,Number,9741
2018,Death rate due to road traffic injuries,Number of Fatality,Number,5181
2018,Death rate due to road traffic injuries,Number injured,Number,25148
2018,Death rate due to road traffic injuries,Total Incident 2018,Number,40070
2019,Death rate due to road traffic injuries,Number of Crash,Number,11072
2019,Death rate due to road traffic injuries,Number of Fatality,Number,5483
2019,Death rate due to road traffic injuries,Number injured,Number,35981
2019,Death rate due to road traffic injuries,Total Incident 2019,Number,52536
2020,Death rate due to road traffic injuries,Number of Crash,Number,8459
2020,Death rate due to road traffic injuries,Number of Fatality,Number,3909
2020,Death rate due to road traffic injuries,Number injured,Number,22888
2020,Death rate due to road traffic injuries,Total Incident 2020,Number,35256
2021,Death rate due to road traffic injuries,Number of Crash,Number,13027
2021,Death rate due to road traffic injuries,Number of Fatality,Number,5985
2021,Death rate due to road traffic injuries,Number injured,Number,38073
2021,Death rate due to road traffic injuries,Total Incident 2021,Number,57085
2022,Death rate due to road traffic injuries,Number of Crash,Number,13656
2022,Death rate due to road traffic injuries,Number of Fatality,Number,6456
2022,Death rate due to road traffic injuries,Number injured,Number,38930
2022,Death rate due to road traffic injuries,Total Incident,Number,59042
