Year,Series,Frequency,Type,Unit,Value
2019,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,723995
2019,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,748345
2019,"Passenger and freight volumes, by mode of transport",Q3,Passengers,Number,815262
2019,"Passenger and freight volumes, by mode of transport",Q4,Passengers,Number,602509
2019,"Passenger and freight volumes, by mode of transport",,Passengers,Number,2890111
2019,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,54099
2019,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,79750
2019,"Passenger and freight volumes, by mode of transport",Q3,Goods/Cargo (tons),Number,55630
2019,"Passenger and freight volumes, by mode of transport",Q4,Goods/Cargo (tons),Number,10634
2019,"Passenger and freight volumes, by mode of transport",,Goods/Cargo (tons),Number,200113
2020,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,647055
2020,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,108238
2020,"Passenger and freight volumes, by mode of transport",Q3,Passengers,Number,130258
2020,"Passenger and freight volumes, by mode of transport",Q4,Passengers,Number,134817
2020,"Passenger and freight volumes, by mode of transport",,Passengers,Number,1020368
2020,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,18484
2020,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,8691
2020,"Passenger and freight volumes, by mode of transport",Q3,Goods/Cargo (tons),Number,24528
2020,"Passenger and freight volumes, by mode of transport",Q4,Goods/Cargo (tons),Number,35736
2020,"Passenger and freight volumes, by mode of transport",,Goods/Cargo (tons),Number,87439
2021,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,424460
2021,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,565385
2021,"Passenger and freight volumes, by mode of transport",Q3,Passengers,Number,696841
2021,"Passenger and freight volumes, by mode of transport",Q4,Passengers,Number,1027772
2021,"Passenger and freight volumes, by mode of transport",,Passengers,Number,2714458
2021,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,9071
2021,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,27695
2021,"Passenger and freight volumes, by mode of transport",Q3,Goods/Cargo (tons),Number,51726
2021,"Passenger and freight volumes, by mode of transport",Q4,Goods/Cargo (tons),Number,53946
2021,"Passenger and freight volumes, by mode of transport",,Goods/Cargo (tons),Number,142438
2022,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,953099
2022,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,422393
2022,"Passenger and freight volumes, by mode of transport",Q3,Passengers,Number,500348
2022,"Passenger and freight volumes, by mode of transport",Q4,Passengers,Number,1337108
2022,"Passenger and freight volumes, by mode of transport",,Passengers,Number,3212948
2022,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,39379
2022,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,31197
2022,"Passenger and freight volumes, by mode of transport",Q3,Goods/Cargo (tons),Number,33312
2022,"Passenger and freight volumes, by mode of transport",Q4,Goods/Cargo (tons),Number,53136
2022,"Passenger and freight volumes, by mode of transport",,Goods/Cargo (tons),Number,157024
2023,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,441725
2023,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,474117
2023,"Passenger and freight volumes, by mode of transport",Q3,Passengers,Number,594348
2023,"Passenger and freight volumes, by mode of transport",Q4,Passengers,Number,672198
2023,"Passenger and freight volumes, by mode of transport",,Passengers,Number,2182388
2023,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,59966
2023,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,56936
2023,"Passenger and freight volumes, by mode of transport",Q3,Goods/Cargo (tons),Number,81963
2023,"Passenger and freight volumes, by mode of transport",Q4,Goods/Cargo (tons),Number,119286
2023,"Passenger and freight volumes, by mode of transport",,Goods/Cargo (tons),Number,318151
2024,"Passenger and freight volumes, by mode of transport",Q1,Passengers,Number,675293
2024,"Passenger and freight volumes, by mode of transport",Q2,Passengers,Number,689263
2024,"Passenger and freight volumes, by mode of transport",Q1,Goods/Cargo (tons),Number,160650
2024,"Passenger and freight volumes, by mode of transport",Q2,Goods/Cargo (tons),Number,143759
